code,severity,fields
masterbelt.lexer.unexpected_character,error,char:rune
masterbelt.lexer.unterminated_block_comment,error,
masterbelt.parser.concrete.expected_const,error,
masterbelt.parser.concrete.expected_identifier,error,
masterbelt.parser.concrete.expected_type,error,
masterbelt.parser.concrete.expected_assign,error,
masterbelt.parser.concrete.expected_expression,error,
masterbelt.parser.concrete.unexpected_token,error,kind:string
masterbelt.parser.concrete.expected_operand,error,operator:string
masterbelt.semantic.duplicate_declaration,error,name:string
masterbelt.semantic.undefined_name,error,name:string
masterbelt.semantic.unknown_type,error,name:string
masterbelt.semantic.cyclic_reference,error,name:string
masterbelt.semantic.constant_overflow,error,value:string typ:string
